rxte_obsid,source_id,canonical_source,archive_target_name,reference_class,class_label,proposal_id,cycle,observation_start,duration,exposure,archive_identifier,mapping_method,mapping_confidence,separation_deg,ra,dec,archive_status,status,query_record,notes,selection_method,inspection_sample
90422-01-01-02,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,90422,9,53284.79383,11737.0,6885.0,AO9/P90422/90422-01-01-02,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,True
91425-01-04-02,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,91425,10,53689.50082,4859.0,2439.0,AO10/P91425/91425-01-04-02,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
92411-01-01-02,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,92411,11,53995.91916,5774.0,3347.0,AO11/P92411/92411-01-01-02,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
92411-01-07-02,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,92411,11,54042.61001,17685.0,9786.0,AO11/P92411/92411-01-07-02,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
92411-01-10-00,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,92411,11,54067.75299,5102.0,3321.0,AO11/P92411/92411-01-10-00,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
93404-01-02-00,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,93404,12,54308.99584,5124.0,3418.0,AO12/P93404/93404-01-02-00,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
93404-01-07-00,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,93404,12,54364.95428,16413.0,10416.0,AO12/P93404/93404-01-07-00,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
93404-01-11-02,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,93404,12,54408.61573,20099.0,12098.0,AO12/P93404/93404-01-11-02,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
93404-01-14-00,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,93404,12,54455.737,4662.0,3322.0,AO12/P93404/93404-01-14-00,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
93404-01-21-00,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,93404,12,54595.97745,4402.0,3057.0,AO12/P93404/93404-01-21-00,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
